Code,Name,Population,Households,Area,Male,Female,Black,Coloured,Indian or Asian,White,Other race,Afrikaans,English,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Sign language,SiSwati,Tshivenda,Xitsonga,Other language,Language not applicable
160001,Kliprand,205,38,0.9599364598,84,121,180,19,0,6,0,199,2,0,0,0,0,0,0,4,0,0,0,0,0
160002,Matzikama NU,23881,7223,12891.205381226,12406,11475,1215,18520,132,3922,92,22501,360,38,289,44,25,92,98,167,10,19,6,94,136
160003,Rietpoort,970,235,2.586126104,453,518,3,961,5,1,0,939,12,2,0,1,0,7,7,2,0,0,0,0,0
160004,Bitterfontein,986,231,39.9040186391,486,500,35,900,4,46,2,951,5,1,13,1,0,1,2,1,0,0,0,1,9
160005,Nuwerus,650,193,0.7489569399,323,327,50,529,5,64,3,534,13,0,0,1,2,0,0,0,0,4,0,0,96
160006,Koekenaap,1551,429,1.5931333299,759,791,193,1300,5,48,5,1379,34,1,81,7,2,1,13,1,0,1,6,18,6
160007,Lutzville,5232,1382,2.3313659014,2637,2595,525,3949,28,703,28,4680,94,2,209,12,0,17,45,10,2,5,3,39,114
160008,Ebenheaser,1305,404,0.6771673881,634,672,4,1294,5,2,0,1272,26,0,0,1,0,0,5,0,0,0,1,0,0
160009,Vanrhynsdorp,6272,1820,5.9911499218,3029,3244,435,4510,26,1237,65,5600,96,2,71,11,8,10,45,9,2,4,0,16,398
160010,Vredendal,18170,4793,23.0825732561,8909,9261,2228,12312,122,2860,648,14976,401,51,1297,34,17,103,121,19,18,9,9,242,872
160011,Strandfontein,431,92,4.1762166028,221,209,218,64,4,143,2,129,6,0,42,2,1,5,0,0,0,0,0,1,244
160012,Klawer,6234,1680,6.4114287081,3062,3172,587,4691,61,849,45,5557,79,5,288,9,2,49,4,195,1,2,1,40,2
160013,Doringbaai,1260,315,1.7878983446,621,639,34,1137,1,87,2,1196,33,2,4,2,0,0,4,0,0,0,0,0,20
161001,Lamberts Bay,6120,1710,45.7289768485,3007,3114,549,4561,14,973,23,5298,102,8,338,6,6,13,32,9,0,1,0,17,289
161002,Cederberg NU,24713,6398,7935.4912535827,12752,11961,2357,19850,78,2388,41,22072,396,37,808,38,6,335,200,56,4,12,0,77,672
161003,Graafwater,2261,604,1.8798121333,1092,1169,53,1878,4,322,3,2201,26,0,13,0,5,2,7,4,0,1,0,1,0
161004,Clanwilliam,7674,2363,15.2652551149,3681,3993,1738,5257,36,588,55,5770,172,15,578,27,6,686,55,39,0,10,9,60,246
161005,Leipoldtville,298,74,0.6477854595,148,150,23,237,5,33,0,286,5,0,1,0,0,0,2,0,0,1,0,2,0
161006,Elands Bay,1525,446,3.7633841805,779,746,467,917,21,115,5,1138,61,10,261,10,5,9,7,14,0,1,1,7,0
161007,Citrusdal,7177,1919,4.6964378877,3536,3641,1121,4951,13,1044,49,5726,124,15,386,8,9,154,55,10,2,2,1,51,634
162001,Redelinghuys,574,139,2.1225220971,296,278,133,333,3,100,4,436,8,0,6,0,1,0,4,0,0,0,0,0,119
162002,Bergrivier NU,24497,5796,4250.7761941629,11898,12598,3865,17564,61,2949,57,20253,366,13,809,36,12,148,276,42,44,12,12,244,2229
162003,Eendekuil,1530,379,0.8525742776,750,780,34,1366,17,99,14,1482,11,0,5,0,1,2,11,2,1,0,0,14,1
162004,Dwarskersbos,670,211,1.5323779956,323,347,200,65,18,385,1,380,18,1,0,0,0,0,0,2,0,0,1,0,267
162005,Aurora,578,199,1.6256943609,268,310,3,390,2,182,0,504,35,1,1,0,0,0,0,0,0,0,1,4,32
162006,Velddrif,11017,3622,8.8713304319,5349,5668,1346,6294,53,3260,64,9000,621,13,935,27,5,29,53,35,3,4,2,51,241
162007,Goedverwacht,1979,539,2.984752277,965,1014,69,1869,6,33,2,1842,15,1,9,1,0,1,12,28,0,1,1,0,66
162008,Beaverlac,59,15,60.9480059573,36,23,1,47,0,8,3,47,0,0,0,1,0,0,0,0,0,0,0,0,11
162009,Piketberg,12075,2920,13.269484352,5800,6275,976,9220,63,1732,83,10532,207,24,216,25,9,132,90,30,12,5,1,82,712
162010,De Hoek,330,112,29.6226358481,195,135,50,161,0,118,1,266,12,1,26,4,1,0,6,0,2,2,4,0,6
162011,Wittewater,848,190,0.4776589984,421,428,16,831,1,0,0,826,14,0,0,3,0,1,2,1,0,0,0,0,0
162012,Porterville,7057,1949,7.9802054588,3396,3661,112,5394,27,1485,40,6540,132,3,19,14,4,37,33,6,1,2,1,21,244
162013,De Lust,684,203,25.9631241382,364,320,195,381,4,104,0,468,36,3,152,4,2,13,5,0,0,1,0,0,0
163001,St Helena Bay,11529,2916,26.9191751223,5706,5823,3419,6833,32,1189,55,7891,404,28,2946,13,13,41,37,27,4,6,1,48,71
163002,Saldanha Bay NU,2962,902,1887.8610497335,1522,1439,145,1809,15,984,8,2685,141,8,42,10,0,17,23,4,0,0,4,12,17
163003,Paternoster,1971,511,2.4938907425,971,1000,316,1410,5,229,12,1611,112,1,178,9,2,8,8,20,0,0,0,1,20
163004,Vredenburg,38382,11557,13.7458528398,19354,19028,11026,21397,248,5302,408,26088,1892,165,7334,187,37,855,350,79,33,111,222,632,398
163005,Swartriet,82,25,2.2660652855,41,41,0,40,0,39,3,74,5,0,0,0,0,0,0,2,0,0,0,0,0
163006,Jacobs Bay,416,168,3.4345528451,205,210,2,14,4,395,0,362,49,0,0,0,0,0,0,2,1,0,0,1,0
163007,Langebaanweg,952,359,7.0921917737,504,448,199,407,6,334,6,619,174,5,55,8,18,18,24,1,0,14,8,8,0
163008,Saldanha,28142,7654,17.3634477952,13878,14264,8404,15286,391,3811,250,18524,1835,46,5176,64,40,206,170,67,8,23,36,150,1798
163009,Marcus Island,0,0,0.1804318982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163010,Hopefield,6460,1813,32.41087375,3157,3304,170,5266,30,930,64,6070,223,5,3,21,8,9,25,9,0,8,0,62,17
163011,Malgaseiland,0,0,0.2029171295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163012,Langebaan,8297,2930,20.1726406792,4051,4246,610,2882,41,4648,117,6258,1576,13,109,42,2,47,36,11,0,1,3,114,85
163013,Jutteneiland,0,0,0.4472728779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163014,Meeueiland,0,0,0.1289690973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163015,Skaapeliland,0,0,0.4035472098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163016,Klein Eiland,0,0,0.0496355481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163017,Vondelingeiland,0,0,0.1954956947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164001,Koringberg,1214,317,3.8556326439,618,597,39,1032,1,137,6,1131,45,0,1,0,2,1,0,2,0,0,0,2,30
164002,Swartland NU,32258,7231,3584.6141143663,16436,15823,8163,19149,179,4604,163,22803,860,27,1982,31,31,300,154,60,19,17,77,119,5777
164003,Klipfontyn,146,44,2.8712013916,75,71,6,129,0,11,0,141,2,1,0,0,0,0,1,0,0,0,0,0,0
164004,Moorreesburg,7760,2578,27.2710049192,3693,4067,743,4073,18,2891,34,6601,251,12,415,13,1,60,47,8,6,6,0,55,285
164005,Rosenhof,5117,1120,0.5439298208,2461,2656,122,4953,14,10,18,4982,28,1,24,2,0,7,13,25,0,1,0,34,0
164006,Riebeek West Mine,255,86,4.998947126,121,134,38,81,0,136,0,205,20,0,25,1,0,0,4,0,0,0,0,0,0
164007,Yzerfontein,1140,490,6.6849991293,558,583,102,64,6,929,40,773,274,4,13,0,1,4,1,0,0,0,0,11,60
164008,Riebeek West,4350,1057,3.4273130142,2101,2249,221,3638,27,456,8,3877,172,1,25,9,1,36,18,1,0,1,0,2,205
164009,Nuwedorp,9347,2304,1.9639099186,4484,4863,837,8385,39,18,68,8251,276,14,589,9,1,76,43,6,5,11,4,61,0
164010,Darling,1073,496,7.3236386545,499,574,57,151,2,831,31,648,368,1,0,0,1,1,5,1,1,0,3,41,2
164011,Riebeek-Kasteel,1144,447,6.3946474413,571,573,75,350,1,702,15,897,210,9,2,0,1,8,2,1,0,1,0,10,2
164012,Esterhof,3617,898,0.5142771559,1751,1865,513,3027,36,22,18,3079,100,14,321,11,8,9,21,15,4,5,4,26,0
164013,Dassen Island,0,0,2.5982301649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164014,Mount Royal Golf & Country Estate,66,19,1.9471687515,33,33,0,0,0,66,0,56,9,0,0,0,0,0,0,0,0,0,0,1,0
164015,Wesbank,11861,2536,2.6466986953,5722,6138,543,11039,75,71,132,10701,387,15,64,19,2,23,44,18,0,10,2,74,501
164016,Malmesbury,10299,2757,13.0543153243,5416,4883,1358,2380,61,6440,60,6991,605,21,334,24,4,46,27,29,0,5,1,54,2157
164017,Ilinge Lethu,13671,4161,1.1526632965,6845,6826,7028,6449,56,11,127,6816,250,21,5035,21,16,975,77,30,18,6,23,382,0
164018,Abbotsdale,3762,924,8.695752685,1816,1946,157,3585,7,6,6,3493,116,0,101,2,1,20,8,7,0,1,0,13,0
164019,Grotto Bay,220,94,0.7989654364,109,111,15,2,0,188,15,96,113,1,0,0,0,4,4,0,0,0,0,2,0
164020,Greater Chatsworth,1726,427,23.3717745175,804,922,11,1697,2,7,8,1632,66,4,4,1,0,1,10,4,1,0,0,3,0
164021,Chatsworth,2326,679,1.2327065184,1132,1194,215,1989,53,15,54,1674,552,9,35,5,1,1,12,2,4,0,0,23,8
164022,Kalbaskraal,2411,659,1.3845704953,1230,1181,564,1578,6,230,34,1823,189,2,307,0,0,42,1,26,0,0,0,21,0
165001,Witzenberg NU,52200,11278,10632.0425353347,28097,24103,14485,33864,70,3577,204,38308,912,77,8136,50,35,3347,246,175,62,17,15,131,688
165002,Op-die-berg,1531,296,1.0376796949,729,801,101,1365,4,59,1,1344,12,0,18,2,1,8,7,1,0,0,0,0,137
165003,Meulstroom,1084,181,21.3170742054,766,318,281,711,4,87,1,518,29,0,75,0,0,2,0,2,0,0,0,0,458
165004,Tulbagh,8969,2413,3.8110648973,4372,4597,2035,6220,22,623,69,6654,319,14,1636,7,10,180,52,18,1,4,0,49,26
165005,Prince Alfred Hamlet,6810,1511,8.7261234721,3371,3438,916,4933,5,886,69,5896,113,0,447,0,11,260,38,12,0,1,0,16,15
165006,Bella Vista,13460,2753,2.900910094,6465,6995,256,12785,53,308,58,12994,194,14,53,12,8,32,47,27,16,26,0,20,17
165007,Ceres,10413,2749,77.1177017568,5010,5402,673,7027,54,2424,235,9125,386,4,176,14,4,24,35,20,1,5,1,57,562
165008,eNduli,9351,2989,0.6994225734,4824,4526,8617,586,21,6,121,661,86,59,7229,43,15,895,14,59,0,1,5,104,180
165009,Wolseley,1528,518,2.3491057758,749,779,150,350,10,957,61,1175,84,0,23,5,1,1,2,0,12,1,2,32,191
165010,Pine Valley,4340,1342,1.0957333147,2178,2163,1636,2581,10,1,112,2796,32,0,1015,12,2,390,13,8,0,1,6,65,0
165011,Montana,6262,1388,1.5863565673,2994,3269,150,6028,21,15,49,6057,70,1,29,2,4,6,31,19,0,6,2,35,0
166001,Saron,7843,1913,2.1264802185,3765,4078,145,7630,18,6,44,7594,75,16,15,4,5,11,25,19,0,7,0,72,1
166002,Drakenstein NU,36995,7978,1421.7324132778,18359,18636,4875,27987,65,3950,117,31952,1150,32,2743,48,50,518,204,72,6,29,17,165,10
166003,Gouda,3441,829,7.6471648162,1686,1755,291,3095,6,45,3,3119,56,2,167,2,0,29,34,7,0,0,8,14,0
166004,Onverwacht,830,158,0.4423319252,571,259,128,351,5,333,14,345,98,0,23,1,1,8,0,0,0,0,0,0,354
166005,Wellington,55543,12812,30.1614446789,26728,28815,8988,37395,231,8569,360,43568,3190,57,5727,68,29,161,219,153,18,40,12,396,1904
166006,Diemersfontein,84,26,1.9127771381,40,44,0,12,0,72,0,37,38,2,0,0,0,0,0,1,0,0,0,5,0
166007,Mbekweni,30875,8339,2.0387744846,15096,15779,29973,604,20,22,256,869,673,76,26859,114,91,643,74,359,5,10,137,966,0
166008,Paarl,112045,27252,64.6065341843,54629,57416,11601,78313,636,20051,1443,93704,6674,78,5001,127,59,514,396,520,26,76,18,747,4104
166009,Val De Vie,303,95,1.8706085695,141,162,9,13,0,271,9,186,111,0,0,2,0,1,0,0,0,0,0,2,0
166010,Water-Vliet,476,150,2.0816535375,229,247,27,57,6,383,3,191,244,0,1,0,1,0,7,0,0,0,1,31,0
166011,Victor Verster,2827,223,3.0453933477,2282,545,925,1572,11,256,63,690,82,1,144,1,0,2,25,0,2,0,0,0,1880
167001,Klapmuts,7703,1958,1.7647892888,3859,3844,2582,4945,22,75,78,5561,144,6,1662,12,3,184,18,17,1,4,19,67,6
167002,Stellenbosch NU,35570,8133,793.542316084,17665,17905,3677,25011,130,6519,233,29686,2837,42,1137,102,33,175,127,123,12,8,21,316,951
167003,Elsenburg,744,145,1.0110300686,373,371,187,546,2,2,6,666,10,4,25,0,1,0,9,0,0,0,6,6,17
167004,De Hollandsche,192,89,0.1653648982,85,107,2,6,0,184,0,127,65,0,0,0,0,0,0,0,0,0,0,0,0
167005,Koelenhof,302,70,0.3381548186,145,156,35,264,0,4,0,282,4,0,12,1,0,3,0,0,0,0,0,0,0
167006,Pniel,1975,497,0.5874146239,979,996,23,1930,9,9,5,1817,132,0,1,1,1,6,4,6,0,1,0,6,0
167007,Franschhoek,17556,5586,7.047039279,8703,8852,7281,9137,77,901,160,9812,842,43,5363,56,18,516,60,114,10,8,13,519,182
167008,Languedoc,4289,946,0.6372575273,2176,2113,962,3295,0,2,29,3396,54,1,732,9,6,16,29,20,1,2,0,21,0
167009,Wiesiesdraai,1727,429,0.4253694376,845,882,110,1583,6,5,23,1571,41,8,48,5,1,7,6,7,0,1,5,27,0
167010,Welgevonden,2493,1071,0.6156668343,1126,1366,129,105,10,2220,29,1925,481,5,7,6,2,8,4,1,0,2,1,51,0
167011,Cloetesville,15390,3204,1.7209339631,7384,8006,930,13555,50,750,105,13534,358,5,120,16,11,27,39,152,3,5,0,65,1055
167012,Khayamandi,24645,8568,1.5433656764,12303,12342,23312,1146,20,41,126,1450,793,45,20920,104,43,575,67,257,1,21,17,349,3
167013,Pappegaai,0,0,0.5382139543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167014,La Colline,1497,505,0.4817295394,812,685,244,314,11,892,35,949,312,12,28,5,8,4,14,4,1,7,5,149,0
167015,Tennantville,563,125,0.1140911877,268,294,59,501,1,1,0,525,29,0,1,0,0,1,5,0,0,0,0,1,0
167016,Kylemore,4328,994,0.9417032742,2152,2176,213,3971,21,96,28,4094,115,18,22,7,0,12,9,12,0,1,1,37,0
167017,Idasvallei,8762,2127,2.0965654752,4123,4639,404,8224,38,61,35,7990,495,10,62,17,6,51,55,28,5,1,4,25,13
167018,Stellenbosch,19068,6382,8.2405130934,8937,10131,2969,3101,180,12501,317,9125,2649,18,261,33,14,165,56,32,14,2,11,466,6220
167019,Onder Papegaaiberg,1504,483,1.77732324,670,834,180,109,8,1192,15,902,197,6,5,0,0,4,2,0,0,0,0,24,364
167020,Devon Valley,215,37,1.3754118514,109,106,8,206,0,0,1,204,2,0,6,0,0,1,0,1,0,1,0,0,0
167021,Robertsvlei,9,2,0.5887085119,5,5,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
167022,Dalsig,1234,436,1.4032475012,612,622,53,22,12,1119,28,886,279,3,3,0,1,8,7,1,0,0,1,43,0
167023,Kleingeluk,226,107,0.0414802116,99,127,57,14,0,155,0,140,30,0,46,0,0,2,0,2,0,0,0,5,0
167024,Paradyskloof,1614,594,1.2858436406,788,827,108,137,10,1340,20,1243,299,1,23,1,0,6,8,2,0,0,1,29,0
167025,Brandwacht,265,91,0.2488496104,127,138,11,4,0,250,0,171,77,1,1,4,0,0,0,0,0,1,0,11,0
167026,Jamestown,2840,602,1.6212847748,1340,1499,93,2408,13,310,15,2549,213,4,16,1,2,12,12,9,0,1,1,19,0
167027,Lynedoch,108,23,0.0716038625,47,62,21,53,0,34,0,69,20,0,0,0,0,7,0,0,0,0,0,0,12
167028,Raithby,908,217,0.7250034664,438,469,65,761,2,76,3,711,136,0,31,1,0,1,6,4,0,0,1,16,0
167029,Stellenbosch Rural,5,1,0.0918711967,2,2,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
168001,Touwsrivier,8126,1904,21.6164484455,3897,4228,611,6900,27,534,53,7486,208,9,82,21,4,14,73,15,6,1,1,120,84
168002,Breede Valley NU,46075,10921,3724.6063077585,22298,23777,9897,33587,57,2112,423,37171,597,54,5046,52,42,2290,162,129,21,21,19,358,112
168003,De Doorns,10583,3062,7.2638716916,4977,5606,4082,5555,66,673,207,6693,268,19,2580,22,11,395,39,61,1,13,38,267,174
168004,Hassie Square,522,170,0.1223813456,244,278,296,222,1,0,3,379,7,0,117,4,0,6,1,0,0,0,3,4,0
168005,Ekupumeleni,173,71,0.185509492,88,84,137,34,1,0,0,34,5,1,104,0,1,15,1,1,0,0,0,10,0
168006,Zweletemba,18172,5750,2.0898760461,8850,9323,17708,308,35,5,117,590,336,23,15382,69,35,1004,76,116,4,33,43,461,0
168007,Worcester,78906,19682,71.0632934999,38337,40569,6903,56708,740,13626,929,66874,3093,54,2299,110,32,537,278,186,7,36,29,632,4738
168008,Rawsonville,3099,770,2.4240205348,1479,1620,263,2069,5,741,20,2593,42,0,46,8,0,7,9,2,2,2,0,12,375
168009,Brandvlei,1171,199,4.1443092742,897,274,716,257,14,174,10,329,38,0,154,5,5,3,0,1,0,1,0,0,635
169001,Montagu,15176,4029,32.7057733001,7193,7983,974,11483,83,2487,148,12773,765,14,204,7,7,49,47,48,0,7,1,84,1169
169002,Langeberg NU,29292,7183,4388.9695830363,14902,14390,1911,23827,57,3383,114,27286,685,40,543,33,8,281,104,67,4,21,10,150,60
169003,Robertson,21929,5676,22.7296585076,10604,11325,1133,16393,92,4063,247,19592,780,31,191,51,8,69,95,63,4,10,1,185,850
169004,Nkqubela,5786,1849,0.723157092,2862,2925,5306,454,0,5,21,564,88,36,3991,32,13,515,9,59,44,2,7,409,15
169005,Zolani,5598,1580,1.3703664688,2659,2939,5128,451,7,4,8,507,93,7,4633,13,17,124,7,71,1,0,6,120,0
169006,Ashton,7727,1777,22.1095759088,3735,3992,320,6671,23,666,47,7218,95,8,79,4,13,52,29,31,1,6,0,51,140
169007,Bonnievale,9092,2376,27.0703705516,4461,4632,1007,6842,22,974,247,8157,154,5,544,5,4,117,24,34,1,2,4,43,0
169008,Mcgregor,3125,654,22.027616993,1476,1649,102,2586,28,400,8,2669,319,1,39,0,2,7,16,5,0,1,0,23,42
170001,Barrydale,4156,1101,25.7705145536,2002,2154,149,3463,15,494,35,3717,270,2,45,2,1,12,14,9,1,0,1,27,53
170002,Swellendam NU,10397,2887,3683.4585748549,5499,4898,1440,6724,32,2172,28,8602,396,13,706,33,10,142,52,35,0,2,0,35,371
170003,Suurbraak,2252,570,46.1061465199,1088,1165,72,2099,13,59,9,2159,74,0,6,1,0,0,7,1,0,0,0,4,0
170004,Buffelsjagrivier,1439,355,0.400831185,700,739,79,1330,5,22,3,1360,24,1,21,0,0,7,8,15,0,0,0,3,0
170005,Swellendam,17537,5172,58.1396016638,8536,9001,2702,11058,48,3412,318,13846,813,32,1618,24,5,183,58,45,8,12,21,368,504
170006,Malgas,44,20,0.7665561441,23,21,5,22,0,17,0,32,8,1,1,0,0,1,0,0,0,0,0,0,0
170007,Infanta,90,33,20.4479048868,44,47,8,19,0,63,0,45,42,1,0,0,0,1,0,0,0,0,0,1,0
171001,Villiersdorp,10004,3460,2.8924493796,5082,4922,4031,4469,20,1251,233,5526,336,20,2400,54,6,1252,33,35,2,4,3,103,231
171002,Theewaterskloof NU,34200,8093,3092.2409189322,18449,15751,8720,21569,161,3613,136,25205,1345,35,4575,42,25,550,146,98,12,12,6,164,1985
171003,Hottentots Holland Nature Reserve,0,0,94.0611988703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171004,Genadendal,5663,1593,3.9689805877,2748,2915,174,5323,19,29,118,5186,167,7,22,2,1,9,14,5,0,0,0,50,198
171005,Dennehof,121,49,1.0900091306,55,66,6,33,4,79,0,65,50,0,0,0,0,0,0,0,0,0,0,6,0
171006,Greyton,2780,990,2.8897431146,1375,1405,137,1923,22,668,30,2051,609,8,24,14,0,12,14,1,0,0,0,31,15
171007,Riviersonderend,5245,1483,5.5679940609,2560,2686,661,3954,26,574,31,4498,160,4,430,6,7,41,7,5,1,4,4,32,47
171008,Elgin,953,142,0.6372999536,489,463,287,661,1,3,0,771,5,1,29,4,0,7,20,1,0,1,0,0,114
171009,Grabouw,30337,7708,6.6498885587,14967,15370,11672,16923,73,1409,261,18531,743,57,8543,65,12,1495,90,81,7,8,6,333,366
171010,Middleton,963,242,1.6474650132,456,507,77,776,6,104,0,799,26,1,2,0,0,0,2,1,0,0,0,0,131
171011,Caledon,13020,3544,18.0585841709,6520,6500,1779,9068,32,2036,105,10289,349,15,853,25,9,289,60,25,5,8,2,133,958
171012,Botrivier,5505,1579,1.933461734,2763,2741,1212,3778,25,407,82,3980,271,10,785,23,2,68,7,49,1,5,0,54,250
172001,Lebanon,74,26,36.0049530065,31,43,24,36,0,6,8,36,6,2,13,0,0,6,0,0,0,0,0,11,0
172002,Highlands,75,18,68.4166780185,36,39,33,38,0,4,0,35,4,1,12,1,0,21,0,1,0,0,0,0,0
172003,Kogelberg,3,1,153.2985390277,2,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
172004,Betty's Bay,1380,666,20.9860789489,665,715,51,292,4,1002,32,834,503,0,13,2,0,2,1,0,0,0,1,23,0
172005,Overstrand NU,5100,1722,1309.4354721273,2667,2433,679,2458,12,1904,46,3661,776,8,383,2,6,50,23,8,0,4,2,142,35
172006,Rooiels,125,64,1.1507397229,66,59,2,0,0,115,8,59,61,0,0,0,0,0,0,0,0,0,0,5,0
172007,Arabella Country Estate,67,33,1.3296487382,32,35,3,1,0,62,0,27,34,0,0,0,0,0,1,0,0,0,0,4,0
172008,Paarde Poort,0,0,8.0975630351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172009,Kleinmond,6634,2733,7.1319151707,3321,3313,2308,1833,22,2411,60,3971,499,20,1686,18,8,213,33,33,2,0,20,100,30
172010,Pringle Bay,801,428,3.2595007497,388,414,64,44,0,673,20,348,397,0,4,6,0,1,1,1,0,0,0,28,15
172011,Fisherhaven,723,308,2.973703649,355,368,15,191,2,504,11,366,332,4,0,2,0,2,0,0,0,0,0,17,0
172012,Hawston,8214,1931,4.6479612333,3993,4220,98,7883,16,31,186,7830,284,1,7,3,2,22,21,9,0,1,2,30,0
172013,Onrus River,5151,2307,10.8314370514,2341,2810,332,134,7,4658,20,3020,1819,11,29,1,1,5,12,3,0,0,0,38,212
172014,Hermanus,10457,3152,17.8126576442,4839,5618,815,4937,58,4549,98,7074,1928,12,52,12,2,26,21,9,2,0,1,159,1158
172015,Fernkloof,0,0,11.2741575183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172016,Vogelgat,4,1,6.1388643849,2,2,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
172017,Sand Bay,4102,1639,4.1945938116,1885,2216,237,171,11,3652,31,2721,1129,5,28,2,1,15,6,0,8,0,4,30,153
172018,Zwelihle,18210,6283,2.1138705943,9384,8826,17252,413,31,131,383,733,811,100,14495,178,77,515,63,79,17,42,121,978,0
172019,Stanford,4797,1493,3.9219941369,2400,2396,1395,2893,11,463,34,3088,314,13,1189,4,0,21,17,9,2,1,0,36,103
172020,Gans Bay,11598,3793,12.4424821177,5914,5685,5238,3444,30,2840,47,5953,391,9,4460,14,12,180,73,13,5,4,6,73,407
172021,Birkenhead,56,12,9.8271210879,27,29,11,8,0,37,0,44,9,1,0,0,1,0,0,1,0,0,0,0,0
172022,Van Dyks Bay,500,261,2.8468752799,218,282,25,17,0,458,0,453,43,0,0,0,0,1,1,0,0,1,0,0,0
172023,Franskraalstrand,1165,592,2.5043867224,548,618,37,20,1,1106,2,1026,119,1,15,0,0,0,1,0,0,0,0,1,1
172024,Baardscheerders Bosch,103,39,1.0969582524,50,53,2,11,0,90,0,68,34,0,0,0,0,0,0,0,0,0,0,1,0
172025,Pearly Beach,1042,485,3.9169800135,597,446,503,124,0,407,9,474,95,1,461,1,0,5,1,1,0,0,0,2,1
172026,Wolvengat,50,26,1.3592601457,26,24,6,21,0,22,2,41,10,0,0,0,0,0,0,0,0,0,0,0,0
173001,Napier,4214,1337,23.0422608119,2007,2206,446,2805,19,917,26,3302,451,6,242,7,0,28,22,2,0,2,0,45,105
173002,Cape Agulhas NU,6152,1848,3362.9134728186,3227,2925,718,4153,10,1252,19,5404,163,12,434,11,6,56,25,2,10,4,0,27,0
173003,Bredasdorp,15524,4521,25.1514160655,7571,7953,1978,10323,64,2954,205,12823,669,38,1163,49,13,100,46,87,1,11,8,425,91
173004,Elim,1412,390,28.3319350088,679,732,104,1293,0,14,0,1163,45,0,2,5,0,3,11,5,0,0,0,2,176
173005,Arniston,1267,337,3.9472763063,609,658,30,1113,2,121,0,1052,59,7,9,7,7,6,70,2,1,0,0,2,44
173006,Struisbaai,3877,1454,14.3399061155,1869,2008,489,1949,15,1376,48,3298,347,4,101,7,10,25,17,3,1,4,2,50,8
173007,Agulhas,548,253,7.4921195946,244,303,39,25,1,472,10,427,90,0,0,2,4,1,1,0,2,0,0,2,19
173008,Suiderstrand,44,23,1.3795897585,21,23,3,0,0,41,0,39,5,0,0,0,0,0,0,0,0,0,0,0,0
174001,Ladismith,3742,1036,25.3681032877,1823,1919,318,2567,10,818,28,3118,101,5,21,1,7,7,5,14,4,0,1,4,454
174002,Nissenville,3385,844,0.4389043514,1627,1758,140,3224,13,2,5,3266,26,4,40,4,1,6,20,13,0,5,0,1,0
174003,Kannaland NU,7864,1878,4635.5947470891,3903,3962,310,6378,10,1127,40,7479,237,2,31,8,6,13,23,15,6,6,0,6,33
174004,Zoar,4659,1236,49.0976330985,2211,2448,187,4425,17,10,20,4514,70,0,6,6,2,15,25,11,0,6,0,5,0
174005,Calitzdorp,4284,1009,26.3266206378,2017,2267,185,3662,20,382,35,3930,136,6,5,7,1,11,33,17,1,1,0,24,113
174006,Van Wyksdorp,833,208,21.2515558004,414,419,16,706,2,108,0,750,41,1,17,1,0,6,4,1,4,4,0,4,1
175001,Riversdale,16176,4515,100.4499301003,7649,8527,1432,12171,45,2480,48,14465,347,12,578,20,15,54,98,22,13,4,0,42,506
175002,Hessequa NU,11586,3403,5557.3596526142,5962,5624,707,7574,64,3183,59,10746,385,12,171,37,4,33,52,15,0,8,4,65,55
175003,Heidelberg,8259,2198,23.6854584246,3946,4313,765,6222,36,1189,48,7400,275,13,230,6,1,19,28,13,7,1,0,57,209
175004,Slangrivier,3011,688,11.3564926309,1507,1504,64,2891,22,20,14,2874,62,4,7,5,0,6,13,11,1,1,0,10,18
175005,Albertinia,6372,2151,5.7614617614,3091,3281,677,4366,19,1279,32,5882,177,3,59,12,2,13,47,8,1,8,1,32,127
175006,Melkhoutfontein,2533,614,0.9346563873,1242,1291,68,2434,7,20,3,2377,38,1,16,6,8,5,39,6,0,0,5,11,21
175007,Gouritsmond,515,206,3.24089057,249,265,27,280,2,203,2,476,17,0,1,1,2,1,7,2,0,1,0,4,2
