Code,Name,Population,Households,Area,Male,Female,Black,Coloured,Indian or Asian,White,Other race,Afrikaans,English,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Sign language,SiSwati,Tshivenda,Xitsonga,Other language,Language not applicable
575083,Driefontein,451,70,4.780150857,205,246,451,0,0,0,0,0,5,2,0,444,0,0,0,0,0,0,0,0,0
575084,Seven,2337,382,16.795572287,1036,1300,2331,1,2,2,0,5,22,24,0,2264,5,2,8,3,0,0,2,0,0
575085,Ngedla,1640,336,3.0941175721,736,905,1640,0,0,0,0,5,25,11,1,1592,2,0,4,0,0,0,1,0,0
575086,Ntababomvu A,239,56,0.7235870779,123,116,239,0,0,0,0,1,1,7,0,227,1,0,1,0,0,0,0,0,0
575087,Mabululwane,669,133,0.7828769909,307,362,667,0,2,0,0,0,7,2,0,639,0,15,2,3,0,0,0,0,0
575088,Ngwebini C,305,67,0.518503595,132,172,305,0,0,0,0,0,0,2,1,298,0,0,2,1,0,0,0,0,0
575089,Ntanyandlovu A,272,49,0.6036594339,104,168,272,0,0,0,0,0,0,1,0,270,1,0,0,0,0,0,0,0,0
575090,Ngwebini B,176,34,0.7820763842,73,102,176,0,0,0,0,0,0,1,0,175,0,0,0,0,0,0,0,0,0
575091,Masotsheni,3888,785,8.4249047697,1834,2054,3882,5,1,0,0,6,23,26,1,3654,2,147,3,9,4,10,0,1,0
575092,Ncepheni C,307,59,2.5138848562,129,179,307,0,0,0,0,0,3,0,0,304,0,0,0,0,0,0,0,0,0
575093,eSigqumeni A,750,164,1.2861291293,324,426,750,0,0,0,0,0,4,1,0,738,1,0,3,2,0,0,0,0,0
575094,Ntabebomvu,355,67,0.2715253304,151,205,355,0,0,0,0,0,2,2,0,338,2,9,0,1,0,0,0,0,0
575095,Magaga,533,92,0.8174297798,221,312,533,0,0,0,0,0,7,2,0,522,1,0,0,0,0,0,0,0,0
575096,KwaNyezi,348,80,0.4353343769,170,178,348,0,0,0,0,0,0,0,0,346,0,0,2,0,0,0,0,0,0
575097,Ncepheni A,1731,292,2.8815849814,771,960,1714,4,3,10,0,1,14,1,0,1562,0,2,3,1,0,0,0,1,145
575098,Maguzini,705,125,0.4787963247,301,404,705,0,0,0,0,0,2,2,1,695,1,0,2,0,0,0,0,0,0
575099,KwaNyoni,1037,194,1.4469982031,453,584,1024,0,0,14,0,0,9,0,0,1010,2,1,0,3,0,0,0,1,10
575100,Mnqunyeni,306,67,0.6040040749,154,152,300,0,6,0,0,0,1,3,0,301,0,0,1,0,0,0,0,0,0
575101,KwaNjoko B,492,80,0.289580378,219,272,489,0,0,2,0,1,5,1,0,471,2,0,10,1,0,0,0,0,0
575102,Bhekabani,440,90,0.8564613847,205,234,440,0,0,0,0,0,2,5,0,372,1,57,1,1,0,0,0,0,0
575103,Qwabe,264,49,0.194446103,102,162,263,0,0,1,0,0,2,1,0,250,1,0,9,0,0,0,0,0,0
575104,KwaNjoko A,245,43,0.1485086588,109,136,245,0,0,0,0,0,0,2,0,243,0,0,0,0,0,0,0,0,0
575105,Ncepheni B,357,54,0.5751852676,165,192,357,0,0,0,0,0,0,0,0,356,0,0,0,1,0,0,0,0,0
575106,KwaThusi,313,54,0.1884922181,132,181,313,0,0,0,0,0,2,5,0,301,3,0,1,0,0,0,0,0,0
575107,Dunudunu,1058,181,1.2279056812,491,567,1058,0,0,0,0,0,7,7,1,1040,0,1,1,0,0,0,0,0,0
575108,Fahlaza,599,118,0.6743563881,273,327,596,1,0,2,0,0,2,2,0,595,0,0,0,0,0,0,0,0,0
575109,Mpandeni,758,155,1.0546007133,321,437,757,0,0,1,0,1,2,6,0,725,0,1,14,8,0,0,0,0,0
575110,Mathutshana,593,121,0.7069601622,298,296,590,0,2,1,0,1,0,6,0,586,0,0,0,0,0,0,0,0,0
575111,Ngwebini D,526,78,12.2641775975,245,281,526,0,0,0,0,1,0,5,0,517,2,0,0,0,0,0,0,0,0
575112,Hlengile,893,162,5.9285723547,391,502,893,0,0,0,0,0,2,2,0,884,1,1,1,1,0,0,0,0,0
575113,eGezahlala C,1755,309,20.3987667053,775,980,1754,0,1,0,0,0,20,13,0,1703,5,1,5,8,0,0,0,0,0
575114,Hlazakazi A,436,66,1.2318937686,205,231,436,0,0,0,0,1,6,3,0,426,0,0,0,0,0,0,0,0,0
575115,Nhloya,483,79,1.1185675586,231,252,481,1,1,0,0,1,12,5,2,463,0,0,1,0,0,0,0,0,0
575116,iNhlabamkhosi,1363,252,5.4854936981,617,747,1362,0,0,1,0,2,21,8,0,1320,2,0,7,2,0,0,0,0,0
575117,eGezahlala D,507,78,4.686560713,223,284,507,0,0,0,0,1,13,5,1,479,1,0,2,2,0,0,1,0,0
575118,Mgxangala,693,132,0.6683288603,301,392,692,0,0,1,0,0,4,4,0,680,0,2,1,2,0,0,0,0,0
575119,eSigqokweni,623,108,0.6053639068,273,351,623,0,0,0,0,1,4,4,1,609,1,2,1,0,0,0,0,0,0
575120,Silutshana A,1138,220,4.0823222808,516,622,1138,0,0,0,0,0,5,7,0,1102,2,0,18,1,0,0,0,4,0
575121,Silutshana B,1386,255,3.3713083178,570,816,1378,0,5,3,0,0,6,20,0,1352,2,0,5,1,0,0,0,0,0
575122,Hlazakazi C,530,96,5.1010735392,228,302,527,2,0,0,1,0,6,5,0,517,0,0,0,2,0,0,0,0,0
575123,eGezahlala B,128,21,1.7500003841,60,68,126,0,0,1,0,0,0,0,0,125,0,0,1,1,0,0,0,0,0
575124,Straalfontein,0,0,0.4894130963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575125,Malakatha,2088,343,35.1548786526,942,1146,2081,0,7,0,0,6,2,13,1,2054,3,1,2,5,0,0,0,0,0
575126,eGezahlala A,429,67,2.7264676486,198,232,428,0,0,1,0,0,1,4,1,414,2,0,6,1,0,0,0,0,0
575127,eSigqumeni B,456,76,0.8983427579,211,245,455,0,1,0,0,0,1,4,0,449,0,0,1,1,0,0,0,0,0
575128,eMhosheni,18,6,1.3291499316,2,16,18,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2
575129,Hlazakazi B,1126,191,10.050549902,488,638,1126,0,0,0,0,1,11,8,1,1093,2,1,5,3,0,0,0,0,0
575130,eMagogo,601,130,2.1087531259,265,337,599,0,1,1,0,0,1,10,0,586,0,0,4,0,0,0,0,0,0
575131,Nkabane,848,146,7.9211871724,393,455,848,0,0,0,0,0,1,6,1,835,0,1,5,0,0,0,0,0,0
575132,Ntanyeni,984,196,21.595796553,421,564,983,0,0,1,0,0,9,7,4,948,2,0,11,2,1,0,0,0,0
575133,Manxili,1503,270,18.4483198023,688,815,1499,0,5,0,0,1,8,20,0,1467,0,0,6,1,0,0,0,0,0
575134,KwaMfeka A,766,134,11.3964008718,348,418,766,0,0,0,0,1,2,0,0,760,1,0,0,0,0,0,0,1,0
575135,Mvane,714,117,11.9485458476,330,384,714,0,0,0,0,0,9,14,0,683,5,0,2,1,0,0,0,0,0
575136,Bulolo,544,75,6.46952396,257,287,543,0,1,0,0,4,5,18,1,506,7,0,1,2,0,0,0,0,0
575137,Mathengeni,559,87,10.3730711956,242,316,559,0,0,0,0,0,10,1,0,548,0,0,0,0,0,0,0,0,0
575138,Qhudeni,1277,217,16.8647937008,602,675,1274,0,0,2,0,1,12,12,0,1243,0,0,6,3,0,0,0,0,0
575139,Shayanyawo A,530,136,3.9485544373,246,284,523,7,0,0,0,1,7,2,2,517,0,0,0,0,0,0,0,0,0
575140,Mpukunyoni,547,93,5.3303181691,241,306,546,1,0,0,0,3,2,7,0,530,1,0,2,1,0,0,0,0,0
575141,Ngqulu,1506,274,38.7334202375,667,839,1503,0,1,2,0,2,8,31,1,1439,1,6,11,6,0,0,0,1,0
575142,Shayanyawo B,1758,317,7.1066145459,770,989,1753,1,0,2,1,8,21,32,0,1681,1,2,3,7,0,0,1,0,0
576001,Msinga NU,5680,1045,730.0661249254,2645,3035,5499,35,14,125,8,27,81,47,4,5222,20,2,12,6,1,0,5,31,223
576002,iNdanyana  B,746,162,9.0427432918,344,402,746,0,0,0,0,5,14,6,0,711,7,0,1,2,0,0,0,0,0
